Variable,Links Wave 1,Links Wave 2,Links Wave 3,Type,Topic,Reference Period Other Than Survey Period
hrs_sec_child3_school, , ,:ref:`🔗 <w3e-v2_bokind>`,Int,Childcare, 
hrs_sec_child3_digitals, , ,:ref:`🔗 <w3e-v2_bokind>`,Int,Childcare, 
hrs_sec_child3_study_alone, , ,:ref:`🔗 <w3e-v2_bokind>`,Int,Childcare, 
hrs_sec_child3_study_adult, , ,:ref:`🔗 <w3e-v2_bokind>`,Int,Childcare, 
hrs_sec_child3_reading_alone, , ,:ref:`🔗 <w3e-v2_bokind>`,Int,Childcare, 
hrs_sec_child3_reading_adult, , ,:ref:`🔗 <w3e-v2_bokind>`,Int,Childcare, 
hrs_sec_child3_play, , ,:ref:`🔗 <w3e-v2_bokind>`,Int,Childcare, 
hrs_sec_child3_play_adult, , ,:ref:`🔗 <w3e-v2_bokind>`,Int,Childcare, 
hrs_sec_child3_chores, , ,:ref:`🔗 <w3e-v2_bokind>`,Int,Childcare, 
hrs_sec_child3_rest, , ,:ref:`🔗 <w3e-v2_bokind>`,Int,Childcare, 
hrs_sec_child3_other, , ,:ref:`🔗 <w3e-v2_bokind>`,Int,Childcare, 
hrs_sec_child3_school_202002, , ,:ref:`🔗 <w3e-v2_bokind>`,Int,Childcare,202002
hrs_sec_child3_digitals_202002, , ,:ref:`🔗 <w3e-v2_bokind>`,Int,Childcare,202002
hrs_sec_child3_study_alone_202002, , ,:ref:`🔗 <w3e-v2_bokind>`,Int,Childcare,202002
hrs_sec_child3_study_adult_202002, , ,:ref:`🔗 <w3e-v2_bokind>`,Int,Childcare,202002
hrs_sec_child3_reading_alone_202002, , ,:ref:`🔗 <w3e-v2_bokind>`,Int,Childcare,202002
hrs_sec_child3_reading_adult_202002, , ,:ref:`🔗 <w3e-v2_bokind>`,Int,Childcare,202002
hrs_sec_child3_play_202002, , ,:ref:`🔗 <w3e-v2_bokind>`,Int,Childcare,202002
hrs_sec_child3_play_adult_202002, , ,:ref:`🔗 <w3e-v2_bokind>`,Int,Childcare,202002
hrs_sec_child3_chores_202002, , ,:ref:`🔗 <w3e-v2_bokind>`,Int,Childcare,202002
hrs_sec_child3_rest_202002, , ,:ref:`🔗 <w3e-v2_bokind>`,Int,Childcare,202002
hrs_sec_child3_other_202002, , ,:ref:`🔗 <w3e-v2_bokind>`,Int,Childcare,202002
hrs_sec_child4_school, , ,:ref:`🔗 <w3e-v2_bokind>`,Int,Childcare, 
hrs_sec_child4_digitals, , ,:ref:`🔗 <w3e-v2_bokind>`,Int,Childcare, 
hrs_sec_child4_study_alone, , ,:ref:`🔗 <w3e-v2_bokind>`,Int,Childcare, 
hrs_sec_child4_study_adult, , ,:ref:`🔗 <w3e-v2_bokind>`,Int,Childcare, 
hrs_sec_child4_reading_alone, , ,:ref:`🔗 <w3e-v2_bokind>`,Int,Childcare, 
hrs_sec_child4_reading_adult, , ,:ref:`🔗 <w3e-v2_bokind>`,Int,Childcare, 
hrs_sec_child4_play, , ,:ref:`🔗 <w3e-v2_bokind>`,Int,Childcare, 
hrs_sec_child4_play_adult, , ,:ref:`🔗 <w3e-v2_bokind>`,Int,Childcare, 
hrs_sec_child4_chores, , ,:ref:`🔗 <w3e-v2_bokind>`,Int,Childcare, 
hrs_sec_child4_rest, , ,:ref:`🔗 <w3e-v2_bokind>`,Int,Childcare, 
hrs_sec_child4_other, , ,:ref:`🔗 <w3e-v2_bokind>`,Int,Childcare, 
hrs_sec_child4_school_202002, , ,:ref:`🔗 <w3e-v2_bokind>`,Int,Childcare,202002
hrs_sec_child4_digitals_202002, , ,:ref:`🔗 <w3e-v2_bokind>`,Int,Childcare,202002
hrs_sec_child4_study_alone_202002, , ,:ref:`🔗 <w3e-v2_bokind>`,Int,Childcare,202002
hrs_sec_child4_study_adult_202002, , ,:ref:`🔗 <w3e-v2_bokind>`,Int,Childcare,202002
hrs_sec_child4_reading_alone_202002, , ,:ref:`🔗 <w3e-v2_bokind>`,Int,Childcare,202002
hrs_sec_child4_reading_adult_202002, , ,:ref:`🔗 <w3e-v2_bokind>`,Int,Childcare,202002
hrs_sec_child4_play_202002, , ,:ref:`🔗 <w3e-v2_bokind>`,Int,Childcare,202002
hrs_sec_child4_play_adult_202002, , ,:ref:`🔗 <w3e-v2_bokind>`,Int,Childcare,202002
hrs_sec_child4_chores_202002, , ,:ref:`🔗 <w3e-v2_bokind>`,Int,Childcare,202002
hrs_sec_child4_rest_202002, , ,:ref:`🔗 <w3e-v2_bokind>`,Int,Childcare,202002
hrs_sec_child4_other_202002, , ,:ref:`🔗 <w3e-v2_bokind>`,Int,Childcare,202002
hrs_sec_child5_school, , ,:ref:`🔗 <w3e-v2_bokind>`,Int,Childcare, 
hrs_sec_child5_digitals, , ,:ref:`🔗 <w3e-v2_bokind>`,Int,Childcare, 
hrs_sec_child5_study_alone, , ,:ref:`🔗 <w3e-v2_bokind>`,Int,Childcare, 
hrs_sec_child5_study_adult, , ,:ref:`🔗 <w3e-v2_bokind>`,Int,Childcare, 
hrs_sec_child5_reading_alone, , ,:ref:`🔗 <w3e-v2_bokind>`,Int,Childcare, 
hrs_sec_child5_reading_adult, , ,:ref:`🔗 <w3e-v2_bokind>`,Int,Childcare, 
hrs_sec_child5_play, , ,:ref:`🔗 <w3e-v2_bokind>`,Int,Childcare, 
hrs_sec_child5_play_adult, , ,:ref:`🔗 <w3e-v2_bokind>`,Int,Childcare, 
hrs_sec_child5_chores, , ,:ref:`🔗 <w3e-v2_bokind>`,Int,Childcare, 
hrs_sec_child5_rest, , ,:ref:`🔗 <w3e-v2_bokind>`,Int,Childcare, 
hrs_sec_child5_other, , ,:ref:`🔗 <w3e-v2_bokind>`,Int,Childcare, 
hrs_sec_child5_school_202002, , ,:ref:`🔗 <w3e-v2_bokind>`,Int,Childcare,202002
hrs_sec_child5_digitals_202002, , ,:ref:`🔗 <w3e-v2_bokind>`,Int,Childcare,202002
hrs_sec_child5_study_alone_202002, , ,:ref:`🔗 <w3e-v2_bokind>`,Int,Childcare,202002
hrs_sec_child5_study_adult_202002, , ,:ref:`🔗 <w3e-v2_bokind>`,Int,Childcare,202002
hrs_sec_child5_reading_alone_202002, , ,:ref:`🔗 <w3e-v2_bokind>`,Int,Childcare,202002
hrs_sec_child5_reading_adult_202002, , ,:ref:`🔗 <w3e-v2_bokind>`,Int,Childcare,202002
hrs_sec_child5_play_202002, , ,:ref:`🔗 <w3e-v2_bokind>`,Int,Childcare,202002
hrs_sec_child5_play_adult_202002, , ,:ref:`🔗 <w3e-v2_bokind>`,Int,Childcare,202002
hrs_sec_child5_chores_202002, , ,:ref:`🔗 <w3e-v2_bokind>`,Int,Childcare,202002
hrs_sec_child5_rest_202002, , ,:ref:`🔗 <w3e-v2_bokind>`,Int,Childcare,202002
hrs_sec_child5_other_202002, , ,:ref:`🔗 <w3e-v2_bokind>`,Int,Childcare,202002
spending_prim_child1_books, , ,:ref:`🔗 <w3e-v3_bokind>`,Int,Childcare, 
spending_prim_child1_toys, , ,:ref:`🔗 <w3e-v3_bokind>`,Int,Childcare, 
spending_prim_child1_tutoring, , ,:ref:`🔗 <w3e-v3_bokind>`,Int,Childcare, 
spending_prim_child2_books, , ,:ref:`🔗 <w3e-v3_bokind>`,Int,Childcare, 
spending_prim_child2_toys, , ,:ref:`🔗 <w3e-v3_bokind>`,Int,Childcare, 
spending_prim_child2_tutoring, , ,:ref:`🔗 <w3e-v3_bokind>`,Int,Childcare, 
spending_prim_child3_books, , ,:ref:`🔗 <w3e-v3_bokind>`,Int,Childcare, 
spending_prim_child3_toys, , ,:ref:`🔗 <w3e-v3_bokind>`,Int,Childcare, 
spending_prim_child3_tutoring, , ,:ref:`🔗 <w3e-v3_bokind>`,Int,Childcare, 
spending_prim_child4_books, , ,:ref:`🔗 <w3e-v3_bokind>`,Int,Childcare, 
spending_prim_child4_toys, , ,:ref:`🔗 <w3e-v3_bokind>`,Int,Childcare, 
spending_prim_child4_tutoring, , ,:ref:`🔗 <w3e-v3_bokind>`,Int,Childcare, 
spending_prim_child5_books, , ,:ref:`🔗 <w3e-v3_bokind>`,Int,Childcare, 
spending_prim_child5_toys, , ,:ref:`🔗 <w3e-v3_bokind>`,Int,Childcare, 
spending_prim_child5_tutoring, , ,:ref:`🔗 <w3e-v3_bokind>`,Int,Childcare, 
spending_prim_child1_books_202002, , ,:ref:`🔗 <w3e-v3_bokind>`,Int,Childcare,202002
spending_prim_child1_toys_202002, , ,:ref:`🔗 <w3e-v3_bokind>`,Int,Childcare,202002
spending_prim_child1_tutoring_202002, , ,:ref:`🔗 <w3e-v3_bokind>`,Int,Childcare,202002
spending_prim_child2_books_202002, , ,:ref:`🔗 <w3e-v3_bokind>`,Int,Childcare,202002
spending_prim_child2_toys_202002, , ,:ref:`🔗 <w3e-v3_bokind>`,Int,Childcare,202002
spending_prim_child2_tutoring_202002, , ,:ref:`🔗 <w3e-v3_bokind>`,Int,Childcare,202002
spending_prim_child3_books_202002, , ,:ref:`🔗 <w3e-v3_bokind>`,Int,Childcare,202002
spending_prim_child3_toys_202002, , ,:ref:`🔗 <w3e-v3_bokind>`,Int,Childcare,202002
spending_prim_child3_tutoring_202002, , ,:ref:`🔗 <w3e-v3_bokind>`,Int,Childcare,202002
spending_prim_child4_books_202002, , ,:ref:`🔗 <w3e-v3_bokind>`,Int,Childcare,202002
spending_prim_child4_toys_202002, , ,:ref:`🔗 <w3e-v3_bokind>`,Int,Childcare,202002
spending_prim_child4_tutoring_202002, , ,:ref:`🔗 <w3e-v3_bokind>`,Int,Childcare,202002
spending_prim_child5_books_202002, , ,:ref:`🔗 <w3e-v3_bokind>`,Int,Childcare,202002
spending_prim_child5_toys_202002, , ,:ref:`🔗 <w3e-v3_bokind>`,Int,Childcare,202002
spending_prim_child5_tutoring_202002, , ,:ref:`🔗 <w3e-v3_bokind>`,Int,Childcare,202002
spending_sec_child1_books, , ,:ref:`🔗 <w3e-v3_bokind>`,Int,Childcare, 
spending_sec_child1_toys, , ,:ref:`🔗 <w3e-v3_bokind>`,Int,Childcare, 
spending_sec_child1_tutoring, , ,:ref:`🔗 <w3e-v3_bokind>`,Int,Childcare, 
spending_sec_child2_books, , ,:ref:`🔗 <w3e-v3_bokind>`,Int,Childcare, 
spending_sec_child2_toys, , ,:ref:`🔗 <w3e-v3_bokind>`,Int,Childcare, 
spending_sec_child2_tutoring, , ,:ref:`🔗 <w3e-v3_bokind>`,Int,Childcare, 
spending_sec_child3_books, , ,:ref:`🔗 <w3e-v3_bokind>`,Int,Childcare, 
spending_sec_child3_toys, , ,:ref:`🔗 <w3e-v3_bokind>`,Int,Childcare, 
spending_sec_child3_tutoring, , ,:ref:`🔗 <w3e-v3_bokind>`,Int,Childcare, 
spending_sec_child4_books, , ,:ref:`🔗 <w3e-v3_bokind>`,Int,Childcare, 
spending_sec_child4_toys, , ,:ref:`🔗 <w3e-v3_bokind>`,Int,Childcare, 
spending_sec_child4_tutoring, , ,:ref:`🔗 <w3e-v3_bokind>`,Int,Childcare, 
spending_sec_child5_books, , ,:ref:`🔗 <w3e-v3_bokind>`,Int,Childcare, 
spending_sec_child5_toys, , ,:ref:`🔗 <w3e-v3_bokind>`,Int,Childcare, 
spending_sec_child5_tutoring, , ,:ref:`🔗 <w3e-v3_bokind>`,Int,Childcare, 
spending_sec_child1_books_202002, , ,:ref:`🔗 <w3e-v3_bokind>`,Int,Childcare,202002
spending_sec_child1_toys_202002, , ,:ref:`🔗 <w3e-v3_bokind>`,Int,Childcare,202002
spending_sec_child1_tutoring_202002, , ,:ref:`🔗 <w3e-v3_bokind>`,Int,Childcare,202002
spending_sec_child2_books_202002, , ,:ref:`🔗 <w3e-v3_bokind>`,Int,Childcare,202002
spending_sec_child2_toys_202002, , ,:ref:`🔗 <w3e-v3_bokind>`,Int,Childcare,202002
spending_sec_child2_tutoring_202002, , ,:ref:`🔗 <w3e-v3_bokind>`,Int,Childcare,202002
spending_sec_child3_books_202002, , ,:ref:`🔗 <w3e-v3_bokind>`,Int,Childcare,202002
spending_sec_child3_toys_202002, , ,:ref:`🔗 <w3e-v3_bokind>`,Int,Childcare,202002
spending_sec_child3_tutoring_202002, , ,:ref:`🔗 <w3e-v3_bokind>`,Int,Childcare,202002
spending_sec_child4_books_202002, , ,:ref:`🔗 <w3e-v3_bokind>`,Int,Childcare,202002
spending_sec_child4_toys_202002, , ,:ref:`🔗 <w3e-v3_bokind>`,Int,Childcare,202002
spending_sec_child4_tutoring_202002, , ,:ref:`🔗 <w3e-v3_bokind>`,Int,Childcare,202002
spending_sec_child5_books_202002, , ,:ref:`🔗 <w3e-v3_bokind>`,Int,Childcare,202002
spending_sec_child5_toys_202002, , ,:ref:`🔗 <w3e-v3_bokind>`,Int,Childcare,202002
spending_sec_child5_tutoring_202002, , ,:ref:`🔗 <w3e-v3_bokind>`,Int,Childcare,202002
support_go_uni_prim_child1, , ,:ref:`🔗 <w3e-v4_bokind>`,Ordered Categorical,Childcare, 
material_go_uni_prim_child1, , ,:ref:`🔗 <w3e-v4_bokind>`,Ordered Categorical,Childcare, 
school_earn_well_prim_child1, , ,:ref:`🔗 <w3e-v4_bokind>`,Ordered Categorical,Childcare, 
material_earn_well_prim_child1, , ,:ref:`🔗 <w3e-v4_bokind>`,Ordered Categorical,Childcare, 
support_go_uni_prim_child2, , ,:ref:`🔗 <w3e-v4_bokind>`,Ordered Categorical,Childcare, 
material_go_uni_prim_child2, , ,:ref:`🔗 <w3e-v4_bokind>`,Ordered Categorical,Childcare, 
support_earn_well_prim_child2, , ,:ref:`🔗 <w3e-v4_bokind>`,Ordered Categorical,Childcare, 
material_earn_well_prim_child2, , ,:ref:`🔗 <w3e-v4_bokind>`,Ordered Categorical,Childcare, 
support_go_uni_prim_child3, , ,:ref:`🔗 <w3e-v4_bokind>`,Ordered Categorical,Childcare, 
material_go_uni_prim_child3, , ,:ref:`🔗 <w3e-v4_bokind>`,Ordered Categorical,Childcare, 
support_earn_well_prim_child3, , ,:ref:`🔗 <w3e-v4_bokind>`,Ordered Categorical,Childcare, 
material_earn_well_prim_child3, , ,:ref:`🔗 <w3e-v4_bokind>`,Ordered Categorical,Childcare, 
support_go_uni_prim_child4, , ,:ref:`🔗 <w3e-v4_bokind>`,Ordered Categorical,Childcare, 
material_go_uni_prim_child4, , ,:ref:`🔗 <w3e-v4_bokind>`,Ordered Categorical,Childcare, 
support_earn_well_prim_child4, , ,:ref:`🔗 <w3e-v4_bokind>`,Ordered Categorical,Childcare, 
material_earn_well_prim_child4, , ,:ref:`🔗 <w3e-v4_bokind>`,Ordered Categorical,Childcare, 
support_go_uni_prim_child5, , ,:ref:`🔗 <w3e-v4_bokind>`,Ordered Categorical,Childcare, 
material_go_uni_prim_child5, , ,:ref:`🔗 <w3e-v4_bokind>`,Ordered Categorical,Childcare, 
support_earn_well_prim_child5, , ,:ref:`🔗 <w3e-v4_bokind>`,Ordered Categorical,Childcare, 
material_earn_well_prim_child5, , ,:ref:`🔗 <w3e-v4_bokind>`,Ordered Categorical,Childcare, 
support_go_uni_sec_child1, , ,:ref:`🔗 <w3e-v4_bokind>`,Ordered Categorical,Childcare, 
material_go_uni_sec_child1, , ,:ref:`🔗 <w3e-v4_bokind>`,Ordered Categorical,Childcare, 
support_earn_well_sec_child1, , ,:ref:`🔗 <w3e-v4_bokind>`,Ordered Categorical,Childcare, 
material_earn_well_sec_child1, , ,:ref:`🔗 <w3e-v4_bokind>`,Ordered Categorical,Childcare, 
support_go_uni_sec_child2, , ,:ref:`🔗 <w3e-v4_bokind>`,Ordered Categorical,Childcare, 
material_go_uni_sec_child2, , ,:ref:`🔗 <w3e-v4_bokind>`,Ordered Categorical,Childcare, 
support_earn_well_sec_child2, , ,:ref:`🔗 <w3e-v4_bokind>`,Ordered Categorical,Childcare, 
material_earn_well_sec_child2, , ,:ref:`🔗 <w3e-v4_bokind>`,Ordered Categorical,Childcare, 
support_go_uni_sec_child3, , ,:ref:`🔗 <w3e-v4_bokind>`,Ordered Categorical,Childcare, 
material_go_uni_sec_child3, , ,:ref:`🔗 <w3e-v4_bokind>`,Ordered Categorical,Childcare, 
support_earn_well_sec_child3, , ,:ref:`🔗 <w3e-v4_bokind>`,Ordered Categorical,Childcare, 
material_earn_well_sec_child3, , ,:ref:`🔗 <w3e-v4_bokind>`,Ordered Categorical,Childcare, 
support_go_uni_sec_child4, , ,:ref:`🔗 <w3e-v4_bokind>`,Ordered Categorical,Childcare, 
material_go_uni_sec_child4, , ,:ref:`🔗 <w3e-v4_bokind>`,Ordered Categorical,Childcare, 
support_earn_well_sec_child4, , ,:ref:`🔗 <w3e-v4_bokind>`,Ordered Categorical,Childcare, 
material_earn_well_sec_child4, , ,:ref:`🔗 <w3e-v4_bokind>`,Ordered Categorical,Childcare, 
support_go_uni_sec_child5, , ,:ref:`🔗 <w3e-v4_bokind>`,Ordered Categorical,Childcare, 
material_go_uni_sec_child5, , ,:ref:`🔗 <w3e-v4_bokind>`,Ordered Categorical,Childcare, 
support_earn_well_sec_child5, , ,:ref:`🔗 <w3e-v4_bokind>`,Ordered Categorical,Childcare, 
material_earn_well_sec_child5, , ,:ref:`🔗 <w3e-v4_bokind>`,Ordered Categorical,Childcare, 
impact_mental_prim_child1, , ,:ref:`🔗 <w3e-v5_bokind>`,Ordered Categorical,Childcare, 
impact_friendships_prim_child1, , ,:ref:`🔗 <w3e-v5_bokind>`,Ordered Categorical,Childcare, 
impact_grades_dutch_prim_child1, , ,:ref:`🔗 <w3e-v5_bokind>`,Ordered Categorical,Childcare, 
impact_grades_prim_child1, , ,:ref:`🔗 <w3e-v5_bokind>`,Ordered Categorical,Childcare, 
impact_college_prim_child1, , ,:ref:`🔗 <w3e-v5_bokind>`,Ordered Categorical,Childcare, 
impact_career_prim_child1, , ,:ref:`🔗 <w3e-v5_bokind>`,Ordered Categorical,Childcare, 
impact_mental_prim_child2, , ,:ref:`🔗 <w3e-v5_bokind>`,Ordered Categorical,Childcare, 
impact_friendships_prim_child2, , ,:ref:`🔗 <w3e-v5_bokind>`,Ordered Categorical,Childcare, 
impact_grades_dutch_prim_child2, , ,:ref:`🔗 <w3e-v5_bokind>`,Ordered Categorical,Childcare, 
impact_grades_prim_child2, , ,:ref:`🔗 <w3e-v5_bokind>`,Ordered Categorical,Childcare, 
impact_college_prim_child2, , ,:ref:`🔗 <w3e-v5_bokind>`,Ordered Categorical,Childcare, 
impact_career_prim_child2, , ,:ref:`🔗 <w3e-v5_bokind>`,Ordered Categorical,Childcare, 
impact_mental_prim_child3, , ,:ref:`🔗 <w3e-v5_bokind>`,Ordered Categorical,Childcare, 
impact_friendships_prim_child3, , ,:ref:`🔗 <w3e-v5_bokind>`,Ordered Categorical,Childcare, 
impact_grades_dutch_prim_child3, , ,:ref:`🔗 <w3e-v5_bokind>`,Ordered Categorical,Childcare, 
impact_grades_prim_child3, , ,:ref:`🔗 <w3e-v5_bokind>`,Ordered Categorical,Childcare, 
impact_college_prim_child3, , ,:ref:`🔗 <w3e-v5_bokind>`,Ordered Categorical,Childcare, 
impact_career_prim_child3, , ,:ref:`🔗 <w3e-v5_bokind>`,Ordered Categorical,Childcare, 
impact_mental_prim_child4, , ,:ref:`🔗 <w3e-v5_bokind>`,Ordered Categorical,Childcare, 
impact_friendships_prim_child4, , ,:ref:`🔗 <w3e-v5_bokind>`,Ordered Categorical,Childcare, 
impact_grades_dutch_prim_child4, , ,:ref:`🔗 <w3e-v5_bokind>`,Ordered Categorical,Childcare, 
impact_grades_prim_child4, , ,:ref:`🔗 <w3e-v5_bokind>`,Ordered Categorical,Childcare, 
impact_college_prim_child4, , ,:ref:`🔗 <w3e-v5_bokind>`,Ordered Categorical,Childcare, 
impact_career_prim_child4, , ,:ref:`🔗 <w3e-v5_bokind>`,Ordered Categorical,Childcare, 
impact_mental_prim_child5, , ,:ref:`🔗 <w3e-v5_bokind>`,Ordered Categorical,Childcare, 
impact_friendships_prim_child5, , ,:ref:`🔗 <w3e-v5_bokind>`,Ordered Categorical,Childcare, 
impact_grades_dutch_prim_child5, , ,:ref:`🔗 <w3e-v5_bokind>`,Ordered Categorical,Childcare, 
impact_grades_prim_child5, , ,:ref:`🔗 <w3e-v5_bokind>`,Ordered Categorical,Childcare, 
impact_college_prim_child5, , ,:ref:`🔗 <w3e-v5_bokind>`,Ordered Categorical,Childcare, 
impact_career_prim_child5, , ,:ref:`🔗 <w3e-v5_bokind>`,Ordered Categorical,Childcare, 
impact_mental_sec_child1, , ,:ref:`🔗 <w3e-v5_bokind>`,Ordered Categorical,Childcare, 
impact_friendships_sec_child1, , ,:ref:`🔗 <w3e-v5_bokind>`,Ordered Categorical,Childcare, 
impact_grades_dutch_sec_child1, , ,:ref:`🔗 <w3e-v5_bokind>`,Ordered Categorical,Childcare, 
impact_grades_sec_child1, , ,:ref:`🔗 <w3e-v5_bokind>`,Ordered Categorical,Childcare, 
impact_college_sec_child1, , ,:ref:`🔗 <w3e-v5_bokind>`,Ordered Categorical,Childcare, 
impact_career_sec_child1, , ,:ref:`🔗 <w3e-v5_bokind>`,Ordered Categorical,Childcare, 
impact_mental_sec_child2, , ,:ref:`🔗 <w3e-v5_bokind>`,Ordered Categorical,Childcare, 
impact_friendships_sec_child2, , ,:ref:`🔗 <w3e-v5_bokind>`,Ordered Categorical,Childcare, 
impact_grades_dutch_sec_child2, , ,:ref:`🔗 <w3e-v5_bokind>`,Ordered Categorical,Childcare, 
impact_grades_sec_child2, , ,:ref:`🔗 <w3e-v5_bokind>`,Ordered Categorical,Childcare, 
impact_college_sec_child2, , ,:ref:`🔗 <w3e-v5_bokind>`,Ordered Categorical,Childcare, 
impact_career_sec_child2, , ,:ref:`🔗 <w3e-v5_bokind>`,Ordered Categorical,Childcare, 
impact_mental_sec_child3, , ,:ref:`🔗 <w3e-v5_bokind>`,Ordered Categorical,Childcare, 
impact_friendships_sec_child3, , ,:ref:`🔗 <w3e-v5_bokind>`,Ordered Categorical,Childcare, 
impact_grades_dutch_sec_child3, , ,:ref:`🔗 <w3e-v5_bokind>`,Ordered Categorical,Childcare, 
impact_grades_sec_child3, , ,:ref:`🔗 <w3e-v5_bokind>`,Ordered Categorical,Childcare, 
impact_college_sec_child3, , ,:ref:`🔗 <w3e-v5_bokind>`,Ordered Categorical,Childcare, 
impact_career_sec_child3, , ,:ref:`🔗 <w3e-v5_bokind>`,Ordered Categorical,Childcare, 
impact_mental_sec_child4, , ,:ref:`🔗 <w3e-v5_bokind>`,Ordered Categorical,Childcare, 
impact_friendships_sec_child4, , ,:ref:`🔗 <w3e-v5_bokind>`,Ordered Categorical,Childcare, 
impact_grades_dutch_sec_child4, , ,:ref:`🔗 <w3e-v5_bokind>`,Ordered Categorical,Childcare, 
impact_grades_sec_child4, , ,:ref:`🔗 <w3e-v5_bokind>`,Ordered Categorical,Childcare, 
impact_college_sec_child4, , ,:ref:`🔗 <w3e-v5_bokind>`,Ordered Categorical,Childcare, 
impact_career_sec_child4, , ,:ref:`🔗 <w3e-v5_bokind>`,Ordered Categorical,Childcare, 
impact_mental_sec_child5, , ,:ref:`🔗 <w3e-v5_bokind>`,Ordered Categorical,Childcare, 
impact_friendships_sec_child5, , ,:ref:`🔗 <w3e-v5_bokind>`,Ordered Categorical,Childcare, 
impact_grades_dutch_sec_child5, , ,:ref:`🔗 <w3e-v5_bokind>`,Ordered Categorical,Childcare, 
impact_grades_sec_child5, , ,:ref:`🔗 <w3e-v5_bokind>`,Ordered Categorical,Childcare, 
impact_college_sec_child5, , ,:ref:`🔗 <w3e-v5_bokind>`,Ordered Categorical,Childcare, 
impact_career_sec_child5, , ,:ref:`🔗 <w3e-v5_bokind>`,Ordered Categorical,Childcare, 
teacher_email_prim_child1, , ,:ref:`🔗 <w3e-v6_bokind>`,bool,Childcare, 
teacher_phone_prim_child1, , ,:ref:`🔗 <w3e-v6_bokind>`,bool,Childcare, 
teacher_post_prim_child1, , ,:ref:`🔗 <w3e-v6_bokind>`,bool,Childcare, 
teacher_media_prim_child1, , ,:ref:`🔗 <w3e-v6_bokind>`,bool,Childcare, 
teacher_platform_prim_child1, , ,:ref:`🔗 <w3e-v6_bokind>`,bool,Childcare, 
teacher_pickup_prim_child1, , ,:ref:`🔗 <w3e-v6_bokind>`,bool,Childcare, 
teacher_none_prim_child1, , ,:ref:`🔗 <w3e-v6_bokind>`,bool,Childcare, 
teacher_other_prim_child1, , ,:ref:`🔗 <w3e-v6_bokind>`,bool,Childcare, 
teacher_other_prim_child1_str, , ,:ref:`🔗 <w3e-v6_bokind>`,str,Childcare, 
teacher_email_prim_child2, , ,:ref:`🔗 <w3e-v6_bokind>`,bool,Childcare, 
teacher_phone_prim_child2, , ,:ref:`🔗 <w3e-v6_bokind>`,bool,Childcare, 
teacher_post_prim_child2, , ,:ref:`🔗 <w3e-v6_bokind>`,bool,Childcare, 
teacher_media_prim_child2, , ,:ref:`🔗 <w3e-v6_bokind>`,bool,Childcare, 
teacher_platform_prim_child2, , ,:ref:`🔗 <w3e-v6_bokind>`,bool,Childcare, 
teacher_pickup_prim_child2, , ,:ref:`🔗 <w3e-v6_bokind>`,bool,Childcare, 
teacher_none_prim_child2, , ,:ref:`🔗 <w3e-v6_bokind>`,bool,Childcare, 
teacher_other_prim_child2, , ,:ref:`🔗 <w3e-v6_bokind>`,bool,Childcare, 
teacher_other_prim_child2_str, , ,:ref:`🔗 <w3e-v6_bokind>`,str,Childcare, 
teacher_email_prim_child3, , ,:ref:`🔗 <w3e-v6_bokind>`,bool,Childcare, 
teacher_phone_prim_child3, , ,:ref:`🔗 <w3e-v6_bokind>`,bool,Childcare, 
teacher_post_prim_child3, , ,:ref:`🔗 <w3e-v6_bokind>`,bool,Childcare, 
teacher_media_prim_child3, , ,:ref:`🔗 <w3e-v6_bokind>`,bool,Childcare, 
teacher_platform_prim_child3, , ,:ref:`🔗 <w3e-v6_bokind>`,bool,Childcare, 
teacher_pickup_prim_child3, , ,:ref:`🔗 <w3e-v6_bokind>`,bool,Childcare, 
teacher_none_prim_child3, , ,:ref:`🔗 <w3e-v6_bokind>`,bool,Childcare, 
teacher_other_prim_child3, , ,:ref:`🔗 <w3e-v6_bokind>`,bool,Childcare, 
teacher_other_prim_child3_str, , ,:ref:`🔗 <w3e-v6_bokind>`,str,Childcare, 
teacher_email_prim_child4, , ,:ref:`🔗 <w3e-v6_bokind>`,bool,Childcare, 
teacher_phone_prim_child4, , ,:ref:`🔗 <w3e-v6_bokind>`,bool,Childcare, 
teacher_post_prim_child4, , ,:ref:`🔗 <w3e-v6_bokind>`,bool,Childcare, 
teacher_media_prim_child4, , ,:ref:`🔗 <w3e-v6_bokind>`,bool,Childcare, 
teacher_platform_prim_child4, , ,:ref:`🔗 <w3e-v6_bokind>`,bool,Childcare, 
teacher_pickup_prim_child4, , ,:ref:`🔗 <w3e-v6_bokind>`,bool,Childcare, 
teacher_none_prim_child4, , ,:ref:`🔗 <w3e-v6_bokind>`,bool,Childcare, 
teacher_other_prim_child4, , ,:ref:`🔗 <w3e-v6_bokind>`,bool,Childcare, 
teacher_other_prim_child4_str, , ,:ref:`🔗 <w3e-v6_bokind>`,str,Childcare, 
teacher_email_prim_child5, , ,:ref:`🔗 <w3e-v6_bokind>`,bool,Childcare, 
teacher_phone_prim_child5, , ,:ref:`🔗 <w3e-v6_bokind>`,bool,Childcare, 
teacher_post_prim_child5, , ,:ref:`🔗 <w3e-v6_bokind>`,bool,Childcare, 
teacher_media_prim_child5, , ,:ref:`🔗 <w3e-v6_bokind>`,bool,Childcare, 
teacher_platform_prim_child5, , ,:ref:`🔗 <w3e-v6_bokind>`,bool,Childcare, 
