Variable,Links Wave 1,Type,Topic,Reference Period Other Than Survey Period,Links Wave 2,Links Wave 3,Links Wave 4
hrs_prim_child5_play_202002, ,Int,Childcare,202002, ,:ref:`🔗 <w3e-v2_bokind>`, 
hrs_prim_child5_play_adult_202002, ,Int,Childcare,202002, ,:ref:`🔗 <w3e-v2_bokind>`, 
hrs_prim_child5_chores_202002, ,Int,Childcare,202002, ,:ref:`🔗 <w3e-v2_bokind>`, 
hrs_prim_child5_rest_202002, ,Int,Childcare,202002, ,:ref:`🔗 <w3e-v2_bokind>`, 
hrs_prim_child5_other_202002, ,Int,Childcare,202002, ,:ref:`🔗 <w3e-v2_bokind>`, 
hrs_sec_child1_school, ,Int,Childcare,-111, ,:ref:`🔗 <w3e-v2_bokind>`, 
hrs_sec_child1_digitals, ,Int,Childcare,-111, ,:ref:`🔗 <w3e-v2_bokind>`, 
hrs_sec_child1_study_alone, ,Int,Childcare,-111, ,:ref:`🔗 <w3e-v2_bokind>`, 
hrs_sec_child1_study_adult, ,Int,Childcare,-111, ,:ref:`🔗 <w3e-v2_bokind>`, 
hrs_sec_child1_reading_alone, ,Int,Childcare,-111, ,:ref:`🔗 <w3e-v2_bokind>`, 
hrs_sec_child1_reading_adult, ,Int,Childcare,-111, ,:ref:`🔗 <w3e-v2_bokind>`, 
hrs_sec_child1_play, ,Int,Childcare,-111, ,:ref:`🔗 <w3e-v2_bokind>`, 
hrs_sec_child1_play_adult, ,Int,Childcare,-111, ,:ref:`🔗 <w3e-v2_bokind>`, 
hrs_sec_child1_chores, ,Int,Childcare,-111, ,:ref:`🔗 <w3e-v2_bokind>`, 
hrs_sec_child1_rest, ,Int,Childcare,-111, ,:ref:`🔗 <w3e-v2_bokind>`, 
hrs_sec_child1_other, ,Int,Childcare,-111, ,:ref:`🔗 <w3e-v2_bokind>`, 
hrs_sec_child1_school_202002, ,Int,Childcare,202002, ,:ref:`🔗 <w3e-v2_bokind>`, 
hrs_sec_child1_digitals_202002, ,Int,Childcare,202002, ,:ref:`🔗 <w3e-v2_bokind>`, 
hrs_sec_child1_study_alone_202002, ,Int,Childcare,202002, ,:ref:`🔗 <w3e-v2_bokind>`, 
hrs_sec_child1_study_adult_202002, ,Int,Childcare,202002, ,:ref:`🔗 <w3e-v2_bokind>`, 
hrs_sec_child1_reading_alone_202002, ,Int,Childcare,202002, ,:ref:`🔗 <w3e-v2_bokind>`, 
hrs_sec_child1_reading_adult_202002, ,Int,Childcare,202002, ,:ref:`🔗 <w3e-v2_bokind>`, 
hrs_sec_child1_play_202002, ,Int,Childcare,202002, ,:ref:`🔗 <w3e-v2_bokind>`, 
hrs_sec_child1_play_adult_202002, ,Int,Childcare,202002, ,:ref:`🔗 <w3e-v2_bokind>`, 
hrs_sec_child1_chores_202002, ,Int,Childcare,202002, ,:ref:`🔗 <w3e-v2_bokind>`, 
hrs_sec_child1_rest_202002, ,Int,Childcare,202002, ,:ref:`🔗 <w3e-v2_bokind>`, 
hrs_sec_child1_other_202002, ,Int,Childcare,202002, ,:ref:`🔗 <w3e-v2_bokind>`, 
hrs_sec_child2_school, ,Int,Childcare,-111, ,:ref:`🔗 <w3e-v2_bokind>`, 
hrs_sec_child2_digitals, ,Int,Childcare,-111, ,:ref:`🔗 <w3e-v2_bokind>`, 
hrs_sec_child2_study_alone, ,Int,Childcare,-111, ,:ref:`🔗 <w3e-v2_bokind>`, 
hrs_sec_child2_study_adult, ,Int,Childcare,-111, ,:ref:`🔗 <w3e-v2_bokind>`, 
hrs_sec_child2_reading_alone, ,Int,Childcare,-111, ,:ref:`🔗 <w3e-v2_bokind>`, 
hrs_sec_child2_reading_adult, ,Int,Childcare,-111, ,:ref:`🔗 <w3e-v2_bokind>`, 
hrs_sec_child2_play, ,Int,Childcare,-111, ,:ref:`🔗 <w3e-v2_bokind>`, 
hrs_sec_child2_play_adult, ,Int,Childcare,-111, ,:ref:`🔗 <w3e-v2_bokind>`, 
hrs_sec_child2_chores, ,Int,Childcare,-111, ,:ref:`🔗 <w3e-v2_bokind>`, 
hrs_sec_child2_rest, ,Int,Childcare,-111, ,:ref:`🔗 <w3e-v2_bokind>`, 
hrs_sec_child2_other, ,Int,Childcare,-111, ,:ref:`🔗 <w3e-v2_bokind>`, 
hrs_sec_child2_school_202002, ,Int,Childcare,202002, ,:ref:`🔗 <w3e-v2_bokind>`, 
hrs_sec_child2_digitals_202002, ,Int,Childcare,202002, ,:ref:`🔗 <w3e-v2_bokind>`, 
hrs_sec_child2_study_alone_202002, ,Int,Childcare,202002, ,:ref:`🔗 <w3e-v2_bokind>`, 
hrs_sec_child2_study_adult_202002, ,Int,Childcare,202002, ,:ref:`🔗 <w3e-v2_bokind>`, 
hrs_sec_child2_reading_alone_202002, ,Int,Childcare,202002, ,:ref:`🔗 <w3e-v2_bokind>`, 
hrs_sec_child2_reading_adult_202002, ,Int,Childcare,202002, ,:ref:`🔗 <w3e-v2_bokind>`, 
hrs_sec_child2_play_202002, ,Int,Childcare,202002, ,:ref:`🔗 <w3e-v2_bokind>`, 
hrs_sec_child2_play_adult_202002, ,Int,Childcare,202002, ,:ref:`🔗 <w3e-v2_bokind>`, 
hrs_sec_child2_chores_202002, ,Int,Childcare,202002, ,:ref:`🔗 <w3e-v2_bokind>`, 
hrs_sec_child2_rest_202002, ,Int,Childcare,202002, ,:ref:`🔗 <w3e-v2_bokind>`, 
hrs_sec_child2_other_202002, ,Int,Childcare,202002, ,:ref:`🔗 <w3e-v2_bokind>`, 
hrs_sec_child3_school, ,Int,Childcare,-111, ,:ref:`🔗 <w3e-v2_bokind>`, 
hrs_sec_child3_digitals, ,Int,Childcare,-111, ,:ref:`🔗 <w3e-v2_bokind>`, 
hrs_sec_child3_study_alone, ,Int,Childcare,-111, ,:ref:`🔗 <w3e-v2_bokind>`, 
hrs_sec_child3_study_adult, ,Int,Childcare,-111, ,:ref:`🔗 <w3e-v2_bokind>`, 
hrs_sec_child3_reading_alone, ,Int,Childcare,-111, ,:ref:`🔗 <w3e-v2_bokind>`, 
hrs_sec_child3_reading_adult, ,Int,Childcare,-111, ,:ref:`🔗 <w3e-v2_bokind>`, 
hrs_sec_child3_play, ,Int,Childcare,-111, ,:ref:`🔗 <w3e-v2_bokind>`, 
hrs_sec_child3_play_adult, ,Int,Childcare,-111, ,:ref:`🔗 <w3e-v2_bokind>`, 
hrs_sec_child3_chores, ,Int,Childcare,-111, ,:ref:`🔗 <w3e-v2_bokind>`, 
hrs_sec_child3_rest, ,Int,Childcare,-111, ,:ref:`🔗 <w3e-v2_bokind>`, 
hrs_sec_child3_other, ,Int,Childcare,-111, ,:ref:`🔗 <w3e-v2_bokind>`, 
hrs_sec_child3_school_202002, ,Int,Childcare,202002, ,:ref:`🔗 <w3e-v2_bokind>`, 
hrs_sec_child3_digitals_202002, ,Int,Childcare,202002, ,:ref:`🔗 <w3e-v2_bokind>`, 
hrs_sec_child3_study_alone_202002, ,Int,Childcare,202002, ,:ref:`🔗 <w3e-v2_bokind>`, 
hrs_sec_child3_study_adult_202002, ,Int,Childcare,202002, ,:ref:`🔗 <w3e-v2_bokind>`, 
hrs_sec_child3_reading_alone_202002, ,Int,Childcare,202002, ,:ref:`🔗 <w3e-v2_bokind>`, 
hrs_sec_child3_reading_adult_202002, ,Int,Childcare,202002, ,:ref:`🔗 <w3e-v2_bokind>`, 
hrs_sec_child3_play_202002, ,Int,Childcare,202002, ,:ref:`🔗 <w3e-v2_bokind>`, 
hrs_sec_child3_play_adult_202002, ,Int,Childcare,202002, ,:ref:`🔗 <w3e-v2_bokind>`, 
hrs_sec_child3_chores_202002, ,Int,Childcare,202002, ,:ref:`🔗 <w3e-v2_bokind>`, 
hrs_sec_child3_rest_202002, ,Int,Childcare,202002, ,:ref:`🔗 <w3e-v2_bokind>`, 
hrs_sec_child3_other_202002, ,Int,Childcare,202002, ,:ref:`🔗 <w3e-v2_bokind>`, 
hrs_sec_child4_school, ,Int,Childcare,-111, ,:ref:`🔗 <w3e-v2_bokind>`, 
hrs_sec_child4_digitals, ,Int,Childcare,-111, ,:ref:`🔗 <w3e-v2_bokind>`, 
hrs_sec_child4_study_alone, ,Int,Childcare,-111, ,:ref:`🔗 <w3e-v2_bokind>`, 
hrs_sec_child4_study_adult, ,Int,Childcare,-111, ,:ref:`🔗 <w3e-v2_bokind>`, 
hrs_sec_child4_reading_alone, ,Int,Childcare,-111, ,:ref:`🔗 <w3e-v2_bokind>`, 
hrs_sec_child4_reading_adult, ,Int,Childcare,-111, ,:ref:`🔗 <w3e-v2_bokind>`, 
hrs_sec_child4_play, ,Int,Childcare,-111, ,:ref:`🔗 <w3e-v2_bokind>`, 
hrs_sec_child4_play_adult, ,Int,Childcare,-111, ,:ref:`🔗 <w3e-v2_bokind>`, 
hrs_sec_child4_chores, ,Int,Childcare,-111, ,:ref:`🔗 <w3e-v2_bokind>`, 
hrs_sec_child4_rest, ,Int,Childcare,-111, ,:ref:`🔗 <w3e-v2_bokind>`, 
hrs_sec_child4_other, ,Int,Childcare,-111, ,:ref:`🔗 <w3e-v2_bokind>`, 
hrs_sec_child4_school_202002, ,Int,Childcare,202002, ,:ref:`🔗 <w3e-v2_bokind>`, 
hrs_sec_child4_digitals_202002, ,Int,Childcare,202002, ,:ref:`🔗 <w3e-v2_bokind>`, 
hrs_sec_child4_study_alone_202002, ,Int,Childcare,202002, ,:ref:`🔗 <w3e-v2_bokind>`, 
hrs_sec_child4_study_adult_202002, ,Int,Childcare,202002, ,:ref:`🔗 <w3e-v2_bokind>`, 
hrs_sec_child4_reading_alone_202002, ,Int,Childcare,202002, ,:ref:`🔗 <w3e-v2_bokind>`, 
hrs_sec_child4_reading_adult_202002, ,Int,Childcare,202002, ,:ref:`🔗 <w3e-v2_bokind>`, 
hrs_sec_child4_play_202002, ,Int,Childcare,202002, ,:ref:`🔗 <w3e-v2_bokind>`, 
hrs_sec_child4_play_adult_202002, ,Int,Childcare,202002, ,:ref:`🔗 <w3e-v2_bokind>`, 
hrs_sec_child4_chores_202002, ,Int,Childcare,202002, ,:ref:`🔗 <w3e-v2_bokind>`, 
hrs_sec_child4_rest_202002, ,Int,Childcare,202002, ,:ref:`🔗 <w3e-v2_bokind>`, 
hrs_sec_child4_other_202002, ,Int,Childcare,202002, ,:ref:`🔗 <w3e-v2_bokind>`, 
hrs_sec_child5_school, ,Int,Childcare,-111, ,:ref:`🔗 <w3e-v2_bokind>`, 
hrs_sec_child5_digitals, ,Int,Childcare,-111, ,:ref:`🔗 <w3e-v2_bokind>`, 
hrs_sec_child5_study_alone, ,Int,Childcare,-111, ,:ref:`🔗 <w3e-v2_bokind>`, 
hrs_sec_child5_study_adult, ,Int,Childcare,-111, ,:ref:`🔗 <w3e-v2_bokind>`, 
hrs_sec_child5_reading_alone, ,Int,Childcare,-111, ,:ref:`🔗 <w3e-v2_bokind>`, 
hrs_sec_child5_reading_adult, ,Int,Childcare,-111, ,:ref:`🔗 <w3e-v2_bokind>`, 
hrs_sec_child5_play, ,Int,Childcare,-111, ,:ref:`🔗 <w3e-v2_bokind>`, 
hrs_sec_child5_play_adult, ,Int,Childcare,-111, ,:ref:`🔗 <w3e-v2_bokind>`, 
hrs_sec_child5_chores, ,Int,Childcare,-111, ,:ref:`🔗 <w3e-v2_bokind>`, 
hrs_sec_child5_rest, ,Int,Childcare,-111, ,:ref:`🔗 <w3e-v2_bokind>`, 
hrs_sec_child5_other, ,Int,Childcare,-111, ,:ref:`🔗 <w3e-v2_bokind>`, 
hrs_sec_child5_school_202002, ,Int,Childcare,202002, ,:ref:`🔗 <w3e-v2_bokind>`, 
hrs_sec_child5_digitals_202002, ,Int,Childcare,202002, ,:ref:`🔗 <w3e-v2_bokind>`, 
hrs_sec_child5_study_alone_202002, ,Int,Childcare,202002, ,:ref:`🔗 <w3e-v2_bokind>`, 
hrs_sec_child5_study_adult_202002, ,Int,Childcare,202002, ,:ref:`🔗 <w3e-v2_bokind>`, 
hrs_sec_child5_reading_alone_202002, ,Int,Childcare,202002, ,:ref:`🔗 <w3e-v2_bokind>`, 
hrs_sec_child5_reading_adult_202002, ,Int,Childcare,202002, ,:ref:`🔗 <w3e-v2_bokind>`, 
hrs_sec_child5_play_202002, ,Int,Childcare,202002, ,:ref:`🔗 <w3e-v2_bokind>`, 
hrs_sec_child5_play_adult_202002, ,Int,Childcare,202002, ,:ref:`🔗 <w3e-v2_bokind>`, 
hrs_sec_child5_chores_202002, ,Int,Childcare,202002, ,:ref:`🔗 <w3e-v2_bokind>`, 
hrs_sec_child5_rest_202002, ,Int,Childcare,202002, ,:ref:`🔗 <w3e-v2_bokind>`, 
hrs_sec_child5_other_202002, ,Int,Childcare,202002, ,:ref:`🔗 <w3e-v2_bokind>`, 
spending_prim_child1_books, ,Int,Childcare,-111, ,:ref:`🔗 <w3e-v3_bokind>`, 
spending_prim_child1_toys, ,Int,Childcare,-111, ,:ref:`🔗 <w3e-v3_bokind>`, 
spending_prim_child1_tutoring, ,Int,Childcare,-111, ,:ref:`🔗 <w3e-v3_bokind>`, 
spending_prim_child2_books, ,Int,Childcare,-111, ,:ref:`🔗 <w3e-v3_bokind>`, 
spending_prim_child2_toys, ,Int,Childcare,-111, ,:ref:`🔗 <w3e-v3_bokind>`, 
spending_prim_child2_tutoring, ,Int,Childcare,-111, ,:ref:`🔗 <w3e-v3_bokind>`, 
spending_prim_child3_books, ,Int,Childcare,-111, ,:ref:`🔗 <w3e-v3_bokind>`, 
spending_prim_child3_toys, ,Int,Childcare,-111, ,:ref:`🔗 <w3e-v3_bokind>`, 
spending_prim_child3_tutoring, ,Int,Childcare,-111, ,:ref:`🔗 <w3e-v3_bokind>`, 
spending_prim_child4_books, ,Int,Childcare,-111, ,:ref:`🔗 <w3e-v3_bokind>`, 
spending_prim_child4_toys, ,Int,Childcare,-111, ,:ref:`🔗 <w3e-v3_bokind>`, 
spending_prim_child4_tutoring, ,Int,Childcare,-111, ,:ref:`🔗 <w3e-v3_bokind>`, 
spending_prim_child5_books, ,Int,Childcare,-111, ,:ref:`🔗 <w3e-v3_bokind>`, 
spending_prim_child5_toys, ,Int,Childcare,-111, ,:ref:`🔗 <w3e-v3_bokind>`, 
spending_prim_child5_tutoring, ,Int,Childcare,-111, ,:ref:`🔗 <w3e-v3_bokind>`, 
spending_prim_child1_books_202002, ,Int,Childcare,202002, ,:ref:`🔗 <w3e-v3_bokind>`, 
spending_prim_child1_toys_202002, ,Int,Childcare,202002, ,:ref:`🔗 <w3e-v3_bokind>`, 
spending_prim_child1_tutoring_202002, ,Int,Childcare,202002, ,:ref:`🔗 <w3e-v3_bokind>`, 
spending_prim_child2_books_202002, ,Int,Childcare,202002, ,:ref:`🔗 <w3e-v3_bokind>`, 
spending_prim_child2_toys_202002, ,Int,Childcare,202002, ,:ref:`🔗 <w3e-v3_bokind>`, 
spending_prim_child2_tutoring_202002, ,Int,Childcare,202002, ,:ref:`🔗 <w3e-v3_bokind>`, 
spending_prim_child3_books_202002, ,Int,Childcare,202002, ,:ref:`🔗 <w3e-v3_bokind>`, 
spending_prim_child3_toys_202002, ,Int,Childcare,202002, ,:ref:`🔗 <w3e-v3_bokind>`, 
spending_prim_child3_tutoring_202002, ,Int,Childcare,202002, ,:ref:`🔗 <w3e-v3_bokind>`, 
spending_prim_child4_books_202002, ,Int,Childcare,202002, ,:ref:`🔗 <w3e-v3_bokind>`, 
spending_prim_child4_toys_202002, ,Int,Childcare,202002, ,:ref:`🔗 <w3e-v3_bokind>`, 
spending_prim_child4_tutoring_202002, ,Int,Childcare,202002, ,:ref:`🔗 <w3e-v3_bokind>`, 
spending_prim_child5_books_202002, ,Int,Childcare,202002, ,:ref:`🔗 <w3e-v3_bokind>`, 
spending_prim_child5_toys_202002, ,Int,Childcare,202002, ,:ref:`🔗 <w3e-v3_bokind>`, 
spending_prim_child5_tutoring_202002, ,Int,Childcare,202002, ,:ref:`🔗 <w3e-v3_bokind>`, 
spending_sec_child1_books, ,Int,Childcare,-111, ,:ref:`🔗 <w3e-v3_bokind>`, 
spending_sec_child1_toys, ,Int,Childcare,-111, ,:ref:`🔗 <w3e-v3_bokind>`, 
spending_sec_child1_tutoring, ,Int,Childcare,-111, ,:ref:`🔗 <w3e-v3_bokind>`, 
spending_sec_child2_books, ,Int,Childcare,-111, ,:ref:`🔗 <w3e-v3_bokind>`, 
spending_sec_child2_toys, ,Int,Childcare,-111, ,:ref:`🔗 <w3e-v3_bokind>`, 
spending_sec_child2_tutoring, ,Int,Childcare,-111, ,:ref:`🔗 <w3e-v3_bokind>`, 
spending_sec_child3_books, ,Int,Childcare,-111, ,:ref:`🔗 <w3e-v3_bokind>`, 
spending_sec_child3_toys, ,Int,Childcare,-111, ,:ref:`🔗 <w3e-v3_bokind>`, 
spending_sec_child3_tutoring, ,Int,Childcare,-111, ,:ref:`🔗 <w3e-v3_bokind>`, 
spending_sec_child4_books, ,Int,Childcare,-111, ,:ref:`🔗 <w3e-v3_bokind>`, 
spending_sec_child4_toys, ,Int,Childcare,-111, ,:ref:`🔗 <w3e-v3_bokind>`, 
spending_sec_child4_tutoring, ,Int,Childcare,-111, ,:ref:`🔗 <w3e-v3_bokind>`, 
spending_sec_child5_books, ,Int,Childcare,-111, ,:ref:`🔗 <w3e-v3_bokind>`, 
spending_sec_child5_toys, ,Int,Childcare,-111, ,:ref:`🔗 <w3e-v3_bokind>`, 
spending_sec_child5_tutoring, ,Int,Childcare,-111, ,:ref:`🔗 <w3e-v3_bokind>`, 
spending_sec_child1_books_202002, ,Int,Childcare,202002, ,:ref:`🔗 <w3e-v3_bokind>`, 
spending_sec_child1_toys_202002, ,Int,Childcare,202002, ,:ref:`🔗 <w3e-v3_bokind>`, 
spending_sec_child1_tutoring_202002, ,Int,Childcare,202002, ,:ref:`🔗 <w3e-v3_bokind>`, 
spending_sec_child2_books_202002, ,Int,Childcare,202002, ,:ref:`🔗 <w3e-v3_bokind>`, 
spending_sec_child2_toys_202002, ,Int,Childcare,202002, ,:ref:`🔗 <w3e-v3_bokind>`, 
spending_sec_child2_tutoring_202002, ,Int,Childcare,202002, ,:ref:`🔗 <w3e-v3_bokind>`, 
spending_sec_child3_books_202002, ,Int,Childcare,202002, ,:ref:`🔗 <w3e-v3_bokind>`, 
spending_sec_child3_toys_202002, ,Int,Childcare,202002, ,:ref:`🔗 <w3e-v3_bokind>`, 
spending_sec_child3_tutoring_202002, ,Int,Childcare,202002, ,:ref:`🔗 <w3e-v3_bokind>`, 
spending_sec_child4_books_202002, ,Int,Childcare,202002, ,:ref:`🔗 <w3e-v3_bokind>`, 
spending_sec_child4_toys_202002, ,Int,Childcare,202002, ,:ref:`🔗 <w3e-v3_bokind>`, 
spending_sec_child4_tutoring_202002, ,Int,Childcare,202002, ,:ref:`🔗 <w3e-v3_bokind>`, 
spending_sec_child5_books_202002, ,Int,Childcare,202002, ,:ref:`🔗 <w3e-v3_bokind>`, 
spending_sec_child5_toys_202002, ,Int,Childcare,202002, ,:ref:`🔗 <w3e-v3_bokind>`, 
spending_sec_child5_tutoring_202002, ,Int,Childcare,202002, ,:ref:`🔗 <w3e-v3_bokind>`, 
support_go_uni_prim_child1, ,Ordered Categorical,Childcare,-111, ,:ref:`🔗 <w3e-v4_bokind>`, 
material_go_uni_prim_child1, ,Ordered Categorical,Childcare,-111, ,:ref:`🔗 <w3e-v4_bokind>`, 
support_earn_well_prim_child1, ,Ordered Categorical,Childcare,-111, ,:ref:`🔗 <w3e-v4_bokind>`, 
material_earn_well_prim_child1, ,Ordered Categorical,Childcare,-111, ,:ref:`🔗 <w3e-v4_bokind>`, 
support_go_uni_prim_child2, ,Ordered Categorical,Childcare,-111, ,:ref:`🔗 <w3e-v4_bokind>`, 
material_go_uni_prim_child2, ,Ordered Categorical,Childcare,-111, ,:ref:`🔗 <w3e-v4_bokind>`, 
support_earn_well_prim_child2, ,Ordered Categorical,Childcare,-111, ,:ref:`🔗 <w3e-v4_bokind>`, 
material_earn_well_prim_child2, ,Ordered Categorical,Childcare,-111, ,:ref:`🔗 <w3e-v4_bokind>`, 
support_go_uni_prim_child3, ,Ordered Categorical,Childcare,-111, ,:ref:`🔗 <w3e-v4_bokind>`, 
material_go_uni_prim_child3, ,Ordered Categorical,Childcare,-111, ,:ref:`🔗 <w3e-v4_bokind>`, 
support_earn_well_prim_child3, ,Ordered Categorical,Childcare,-111, ,:ref:`🔗 <w3e-v4_bokind>`, 
material_earn_well_prim_child3, ,Ordered Categorical,Childcare,-111, ,:ref:`🔗 <w3e-v4_bokind>`, 
support_go_uni_prim_child4, ,Ordered Categorical,Childcare,-111, ,:ref:`🔗 <w3e-v4_bokind>`, 
material_go_uni_prim_child4, ,Ordered Categorical,Childcare,-111, ,:ref:`🔗 <w3e-v4_bokind>`, 
support_earn_well_prim_child4, ,Ordered Categorical,Childcare,-111, ,:ref:`🔗 <w3e-v4_bokind>`, 
material_earn_well_prim_child4, ,Ordered Categorical,Childcare,-111, ,:ref:`🔗 <w3e-v4_bokind>`, 
support_go_uni_prim_child5, ,Ordered Categorical,Childcare,-111, ,:ref:`🔗 <w3e-v4_bokind>`, 
material_go_uni_prim_child5, ,Ordered Categorical,Childcare,-111, ,:ref:`🔗 <w3e-v4_bokind>`, 
support_earn_well_prim_child5, ,Ordered Categorical,Childcare,-111, ,:ref:`🔗 <w3e-v4_bokind>`, 
material_earn_well_prim_child5, ,Ordered Categorical,Childcare,-111, ,:ref:`🔗 <w3e-v4_bokind>`, 
support_go_uni_sec_child1, ,Ordered Categorical,Childcare,-111, ,:ref:`🔗 <w3e-v4_bokind>`, 
material_go_uni_sec_child1, ,Ordered Categorical,Childcare,-111, ,:ref:`🔗 <w3e-v4_bokind>`, 
support_earn_well_sec_child1, ,Ordered Categorical,Childcare,-111, ,:ref:`🔗 <w3e-v4_bokind>`, 
material_earn_well_sec_child1, ,Ordered Categorical,Childcare,-111, ,:ref:`🔗 <w3e-v4_bokind>`, 
support_go_uni_sec_child2, ,Ordered Categorical,Childcare,-111, ,:ref:`🔗 <w3e-v4_bokind>`, 
material_go_uni_sec_child2, ,Ordered Categorical,Childcare,-111, ,:ref:`🔗 <w3e-v4_bokind>`, 
support_earn_well_sec_child2, ,Ordered Categorical,Childcare,-111, ,:ref:`🔗 <w3e-v4_bokind>`, 
material_earn_well_sec_child2, ,Ordered Categorical,Childcare,-111, ,:ref:`🔗 <w3e-v4_bokind>`, 
support_go_uni_sec_child3, ,Ordered Categorical,Childcare,-111, ,:ref:`🔗 <w3e-v4_bokind>`, 
material_go_uni_sec_child3, ,Ordered Categorical,Childcare,-111, ,:ref:`🔗 <w3e-v4_bokind>`, 
support_earn_well_sec_child3, ,Ordered Categorical,Childcare,-111, ,:ref:`🔗 <w3e-v4_bokind>`, 
material_earn_well_sec_child3, ,Ordered Categorical,Childcare,-111, ,:ref:`🔗 <w3e-v4_bokind>`, 
support_go_uni_sec_child4, ,Ordered Categorical,Childcare,-111, ,:ref:`🔗 <w3e-v4_bokind>`, 
material_go_uni_sec_child4, ,Ordered Categorical,Childcare,-111, ,:ref:`🔗 <w3e-v4_bokind>`, 
support_earn_well_sec_child4, ,Ordered Categorical,Childcare,-111, ,:ref:`🔗 <w3e-v4_bokind>`, 
material_earn_well_sec_child4, ,Ordered Categorical,Childcare,-111, ,:ref:`🔗 <w3e-v4_bokind>`, 
support_go_uni_sec_child5, ,Ordered Categorical,Childcare,-111, ,:ref:`🔗 <w3e-v4_bokind>`, 
material_go_uni_sec_child5, ,Ordered Categorical,Childcare,-111, ,:ref:`🔗 <w3e-v4_bokind>`, 
support_earn_well_sec_child5, ,Ordered Categorical,Childcare,-111, ,:ref:`🔗 <w3e-v4_bokind>`, 
material_earn_well_sec_child5, ,Ordered Categorical,Childcare,-111, ,:ref:`🔗 <w3e-v4_bokind>`, 
impact_mental_prim_child1, ,Ordered Categorical,Childcare,-111, ,:ref:`🔗 <w3e-v5_bokind>`, 
impact_friendships_prim_child1, ,Ordered Categorical,Childcare,-111, ,:ref:`🔗 <w3e-v5_bokind>`, 
impact_grades_dutch_prim_child1, ,Ordered Categorical,Childcare,-111, ,:ref:`🔗 <w3e-v5_bokind>`, 
impact_grades_prim_child1, ,Ordered Categorical,Childcare,-111, ,:ref:`🔗 <w3e-v5_bokind>`, 
impact_college_prim_child1, ,Ordered Categorical,Childcare,-111, ,:ref:`🔗 <w3e-v5_bokind>`, 
impact_career_prim_child1, ,Ordered Categorical,Childcare,-111, ,:ref:`🔗 <w3e-v5_bokind>`, 
impact_mental_prim_child2, ,Ordered Categorical,Childcare,-111, ,:ref:`🔗 <w3e-v5_bokind>`, 
impact_friendships_prim_child2, ,Ordered Categorical,Childcare,-111, ,:ref:`🔗 <w3e-v5_bokind>`, 
impact_grades_dutch_prim_child2, ,Ordered Categorical,Childcare,-111, ,:ref:`🔗 <w3e-v5_bokind>`, 
impact_grades_prim_child2, ,Ordered Categorical,Childcare,-111, ,:ref:`🔗 <w3e-v5_bokind>`, 
impact_college_prim_child2, ,Ordered Categorical,Childcare,-111, ,:ref:`🔗 <w3e-v5_bokind>`, 
impact_career_prim_child2, ,Ordered Categorical,Childcare,-111, ,:ref:`🔗 <w3e-v5_bokind>`, 
impact_mental_prim_child3, ,Ordered Categorical,Childcare,-111, ,:ref:`🔗 <w3e-v5_bokind>`, 
impact_friendships_prim_child3, ,Ordered Categorical,Childcare,-111, ,:ref:`🔗 <w3e-v5_bokind>`, 
impact_grades_dutch_prim_child3, ,Ordered Categorical,Childcare,-111, ,:ref:`🔗 <w3e-v5_bokind>`, 
impact_grades_prim_child3, ,Ordered Categorical,Childcare,-111, ,:ref:`🔗 <w3e-v5_bokind>`, 
impact_college_prim_child3, ,Ordered Categorical,Childcare,-111, ,:ref:`🔗 <w3e-v5_bokind>`, 
impact_career_prim_child3, ,Ordered Categorical,Childcare,-111, ,:ref:`🔗 <w3e-v5_bokind>`, 
impact_mental_prim_child4, ,Ordered Categorical,Childcare,-111, ,:ref:`🔗 <w3e-v5_bokind>`, 
impact_friendships_prim_child4, ,Ordered Categorical,Childcare,-111, ,:ref:`🔗 <w3e-v5_bokind>`, 
impact_grades_dutch_prim_child4, ,Ordered Categorical,Childcare,-111, ,:ref:`🔗 <w3e-v5_bokind>`, 
impact_grades_prim_child4, ,Ordered Categorical,Childcare,-111, ,:ref:`🔗 <w3e-v5_bokind>`, 
impact_college_prim_child4, ,Ordered Categorical,Childcare,-111, ,:ref:`🔗 <w3e-v5_bokind>`, 
impact_career_prim_child4, ,Ordered Categorical,Childcare,-111, ,:ref:`🔗 <w3e-v5_bokind>`, 
impact_mental_prim_child5, ,Ordered Categorical,Childcare,-111, ,:ref:`🔗 <w3e-v5_bokind>`, 
impact_friendships_prim_child5, ,Ordered Categorical,Childcare,-111, ,:ref:`🔗 <w3e-v5_bokind>`, 
impact_grades_dutch_prim_child5, ,Ordered Categorical,Childcare,-111, ,:ref:`🔗 <w3e-v5_bokind>`, 
impact_grades_prim_child5, ,Ordered Categorical,Childcare,-111, ,:ref:`🔗 <w3e-v5_bokind>`, 
impact_college_prim_child5, ,Ordered Categorical,Childcare,-111, ,:ref:`🔗 <w3e-v5_bokind>`, 
impact_career_prim_child5, ,Ordered Categorical,Childcare,-111, ,:ref:`🔗 <w3e-v5_bokind>`, 
impact_mental_sec_child1, ,Ordered Categorical,Childcare,-111, ,:ref:`🔗 <w3e-v5_bokind>`, 
impact_friendships_sec_child1, ,Ordered Categorical,Childcare,-111, ,:ref:`🔗 <w3e-v5_bokind>`, 
impact_grades_dutch_sec_child1, ,Ordered Categorical,Childcare,-111, ,:ref:`🔗 <w3e-v5_bokind>`, 
